input,output
what is 6019767226094413113 / -99100237759737241744,-0.06
what is 68107888413458164492 - 39591428440815618624,28516459972642545868
what is -63450615202910813525 - 99388053192650314329,-162838668395561127854
what is 35924407002559924400 - -8601497538441416574,44525904541001340974
what is 6996368174601997728 - 49343340144768530985,-42346971970166533257
what is -69405525372469424811 * -22780323067281075536,1581080290639227200019673858559363523696
what is -26953623588924917703 - -24232979665073318534,-2720643923851599169
what is 26901823655325582817 - 84318128191335103540,-57416304536009520723
what is -60804719251302435256 - 58925304240314633773,-119730023491617069029
what is 5856957036186796924 * -90751350829007362608,-531526762781411178506432335196527017792
what is -77525097613453095161 * -29283740449543606806,2270224836837892940028909326980285265766
what is 73378414196848454073 * -54009918695078367157,-3963162184745569187424947046440546080461
what is -37489434384759298283 / -65664235913741356316,0.57
what is -71978002963781985949 * 44718335679645898280,-3218736498084950195352785061390443267720
what is 11730051426585132863 / -20504587792665333550,-0.57
what is -48192659062763335003 + 7340826206289796734,-40851832856473538269
what is -5017063495022901307 / -2655810703383756409,1.89
what is -13441687521596172922 / -24147469553262975644,0.56
what is 17751845268012227386 * -86824621215014130811,-1541297241262702646748283119120880590046
what is 62672410037298344375 * 50403468490988877644,3158906844569302170615966782660650652500
what is -32193820223670960458 * -96491163301073721808,3106419164487644377877707739460060268064
what is -32412819206668457096 * -68445431301322242377,2218509390292203985154362059761537557192
what is -87815968853862018961 + 42611198988309023930,-45204769865552995031
what is -22865815867717519845 * 37959857426490225062,-867983110278934925359958023934501355390
what is 78292163574320284769 / -13577717892572310315,-5.77
what is -38818485660361191555 / -92060876765184316577,0.42
what is -49691242142762123217 / 72615502550813460191,-0.68
what is 22233985290143821613 - 5690324478718683604,16543660811425138009
what is 91944489429791518737 - 50649549444863194683,41294939984928324054
what is -99057595502811070152 - -87691534220279378956,-11366061282531691196
what is 45562333575578701842 + -56549835314967187710,-10987501739388485868
what is -99220351784264697194 / -32631434433887541964,3.04
what is -39925162478358649516 / -37333206940142140683,1.07
what is 51634344467081450784 / -8580578880664931515,-6.02
what is 36720082944040748145 / -10173053295761361113,-3.61
what is -76930872494279063101 - 48691723662873112040,-125622596157152175141
what is 96929306926020748080 - -16191667718090205463,113120974644110953543
what is -66348529571750812647 - -26812152548355348575,-39536377023395464072
what is -36451962396628142206 + -66815599280407035553,-103267561677035177759
what is -89006469713657537573 * 94988819613102743313,-8454619496029708418556282156006671999349
what is 28377285359045477429 * 9327642625305468947,264693176505489404057561950040348897263
what is -12838404728402122065 + -99055085265044695700,-111893489993446817765
what is -89659616601297574217 + -56305027514542451628,-145964644115840025845
what is 15928738133207372905 - -26409966074650050518,42338704207857423423
what is 91077735151056707310 * -34445351858933845866,-3137204633792935630259327873633015480460
what is 60672963011117542639 + -95800108489640504212,-35127145478522961573
what is 9777701655148541876 * 79214874676860325957,774539411240321525405204085442624275332
what is -9735786718909674915 - -71261291249614703014,61525504530705028099
what is -6665370387791329539 / -69749598150650707440,0.1
what is 33445806917609527423 + 57646726691799774046,91092533609409301469
what is 14999054306838492004 - 60104682339294223198,-45105628032455731194
what is -72867364099188322273 * -323344555932757717,23561265486642620107526434551423730741
what is 84375624210559541652 / 14058221448748686718,6.0
what is 26943821144480144502 / 50019984225927230920,0.54
what is 7973422108273070217 + 60210889696230041487,68184311804503111704
what is -9099558060499372414 - -14887015089358097601,5787457028858725187
what is -64839832385683597371 + -10255602884986207001,-75095435270669804372
what is -88382335249796385964 + -80257926317172283595,-168640261566968669559
what is 8591457687983803667 + 70501202145638938713,79092659833622742380
what is 53542934972405701733 / -184649211626319489,-289.97
what is -75306404448761317643 * 70878170820979913996,-5337580198433106409016611657281777431428
what is 1080360822347250160 * -24250742396272808435,-26199551997768615234309649702703099600
what is -19149699942126096485 * 49798600829333121667,-953628263419441060407725834850286040495
what is -94229679905458693639 - -93395216654236339951,-834463251222353688
what is -98727267013449283749 - 30160131682163040433,-128887398695612324182
what is -95757433720355392836 / -97956407772140466874,0.98
what is -90479247528501361633 * -8451611318972793365,764695432544023247221792535284047965045
what is 4879209750813776139 - -31863762517346079853,36742972268159855992
what is -94798573143950561409 - 57330949841445434651,-152129522985395996060
what is -65726821338157752989 * -46611255320663016122,3063609650808473025202784355491000688658
what is -44901760979205105428 * -4040595628378198526,181429859119058927724795556308544199128
what is -90867420142400892 / -33579824150681307740,0.0
what is -1971056979406891812 / -65169819950515699243,0.03
what is 9209259368244096769 * 78764445219897422720,725362205025889306773470496357379191680
what is -31506768774081391693 / -21954942539772674072,1.44
what is -82874021586860624715 - 47760435125293797092,-130634456712154421807
what is -34173582085622978253 - 5009911220629030753,-39183493306252009006
what is -88966973897371083640 / -91099466591986928096,0.98
what is 43687312715736809872 * -66960822440640956458,-2925338389667208384828848154195776553376
what is 95361452559382575779 + 61851277668465920509,157212730227848496288
what is 49313735264562021467 / -43733773602451083025,-1.13
what is -87850318012862169946 + -28234421778965890337,-116084739791828060283
what is 58868202610931361746 + -45138426757404575520,13729775853526786226
what is -5069956685390398475 / 41805672294300350427,-0.12
what is -18138702643446579339 / 15993185316830947114,-1.13
what is 66525143900479959670 / -84591374305252836978,-0.79
what is -33083094998013120893 / 58986590094510653050,-0.56
what is -87097608972932386006 / -89030147535248864511,0.98
what is -77247503920991461369 + 23485656428301926289,-53761847492689535080
what is 70444219787173031415 / 47903436541275847158,1.47
what is -81392811105768183628 - -85773686340547829743,4380875234779646115
what is 89803909897597448691 / -9092487056612866235,-9.88
what is 2952611863112252178 - -6582535567262012672,9535147430374264850
what is -71333440043545184270 - -79324969198483835145,7991529154938650875
what is 76027018495505088483 - -29535021137127706082,105562039632632794565
what is 13635807418037951377 + -24201668089893922018,-10565860671855970641
what is -85921868637521365160 * 12425787650398400702,-1067646894215266638598608569419742342320
what is 679797025490720447 / 14660181808733455122,0.05
what is -11467803966249701142 * 42783373571478825116,-490631341132547512389696091316283482472
what is 45623701140233918822 - -813509292890706135,46437210433124624957
what is 2608014044884272842 + 12723486087981147319,15331500132865420161
what is 72344663154770216794 / 56665364398840902963,1.28
what is -90589687934501394972 / -48642515450708775767,1.86
what is -25867604389619433985 / 42515029310190673424,-0.61
what is -32977334925872000154 - 3402969030792611056,-36380303956664611210
what is -92491158063134269486 / 43190574290629804677,-2.14
what is -73120269213981497492 / 29644561568334013259,-2.47
what is 99753946274195247346 + 38766455704563079777,138520401978758327123
what is -78242248564387091420 * 57215618441859063289,-4476678639893066887102982779244408880380
what is -66231068575137098607 + -26628008839140066791,-92859077414277165398
what is 23756176732636587401 - 54078888456209166559,-30322711723572579158
what is 80956645034382883482 + 56275023777056889527,137231668811439773009
what is 70129323120916145841 - 90254840508746699793,-20125517387830553952
what is 4928390581963795161 / 64339005643393547030,0.08
what is -71385814732217319544 - -52300853468711118590,-19084961263506200954
what is 42262940445116760633 / 14904817011077695950,2.84
what is 87832658893543930344 + -23000053441706990481,64832605451836939863
what is 97760112760697283552 - 7834253284034895870,89925859476662387682
what is 54763756687078265726 - 83255383550325337425,-28491626863247071699
what is 7541754521630853116 / -24694278535209099946,-0.31
what is -92156676681880216364 / 51550714801470438925,-1.79
what is -27274658501889271960 - 26111933512312224503,-53386592014201496463
what is 79506751306825841529 * -56838809362963930951,-4519069080597257394400162720714424264079
what is -62148515832930244371 / -62036503015513598223,1.0
what is 23912487024417615729 / 58840431520875262939,0.41
what is 65275650161218992161 * -5647940698337383733,-368673001155981949642048983783775917013
what is -91147584022795430936 / 44771560702672380535,-2.04
what is 37049494385754884327 / 63259626266342712646,0.59
what is -51862065552097532329 / -90444672825437643565,0.57
what is 41921818013014365953 / 88827238244065076241,0.47
what is 8845459610272315027 / -69539349713701585796,-0.13
what is 38882812805444542617 * 64767490506558156156,2518342209244907320386014395980282900252
what is -5242722102001727305 - -36034977795693548369,30792255693691821064
what is -93460581687946743038 * -31448553515089332171,2939200104764771215565603805657963675498
what is -51052030914047145329 + -56073008810043962820,-107125039724091108149
what is 50788649254184754686 * -34503201861878917118,-1752371017509302703149424584674156114948
what is 54317734507006029096 * -20339175214654183796,-1104777919401063318087839419252907728416
what is -25015310569044123295 + 5816095506680495733,-19199215062363627562
what is 29413236431175581835 - 70012558583928292373,-40599322152752710538
what is 12857991733528651751 * -95396450427787604014,-1226606771008468826449724232180095728514
what is 59305390045790128033 / 72668304737719430968,0.82
what is -8323322709983042990 * -50281794266076362883,418511600113528544890087173383829340170
what is -85104111911946744660 * 15033068161226863299,-1279375915172974442262652206265878233340
what is 17719636799878793992 * 2997394011682520548,53112733233145918856537822720998947616
what is -30178855297046440449 / 56932414172406182746,-0.53
what is 25642756961095978197 * 87688837997152413363,2248583560961897562510009449611779446511
what is -75259982977723525406 + 70028152177266617868,-5231830800456907538
what is -17694041903131706931 / 44128878643685262768,-0.4
what is 61742202393135860415 * -7161872851582721783,-442189803116325473725589088707267919945
what is 91249190369510975017 * -75416298934768111240,-6881676218462603140039598865091916891080
what is -80706720752090615819 - 87909759058479684417,-168616479810570300236
what is -91516501379010382818 / -90852399452732189476,1.01
what is -17427932672009731187 * 88798451381189179314,-1547573432050094538715027907194281065718
what is -35770701965230605009 / 21445512586885351302,-1.67
what is 10488328557502016133 / -67702273236330707,-154.92
what is 1585126117812206534 * 80481157402160560671,127572784589919898852882417601089624314
what is -95947197137444027025 - -89932709392291026503,-6014487745153000522
what is -94142081098628946659 / -80939714912385120213,1.16
what is 80321935746201534491 + 70783073175543436530,151105008921744971021
what is 53557263215338169291 - 9313318116177410948,44243945099160758343
what is -97257689528543079679 + 3553705896744337110,-93703983631798742569
what is 80490351459330064456 + 77632180639815695267,158122532099145759723
what is -13760280086967649993 / 43873853764356809614,-0.31
what is 89137984947402562043 + -87524226385165286199,1613758562237275844
what is -86567519270379641885 / 83288235415302490668,-1.04
what is -21776863375785362575 * 37068959685681580929,-807245670557583305276156652403470332175
what is 28562275629091490749 + -19806638562879285462,8755637066212205287
what is 35299248713114471855 / -44622399051800055197,-0.79
what is -66864045476013379204 * -80587399621078021938,5388399553057424222265917578043424977352
what is 40662591466383772364 - 15044509760937685428,25618081705446086936
what is 74501395964398376508 + -85511403562562044476,-11010007598163667968
what is -90245380937499330754 + -63574207354338341518,-153819588291837672272
what is -78593943653539256933 + 26275149423194930376,-52318794230344326557
what is 37360622456646152636 / -51887508414079520451,-0.72
what is 44807159669213316503 / 85216330636066217405,0.53
what is 94410267284987008410 / -5332890346885838061,-17.7
what is 60068584767628740415 + -65939054208338967844,-5870469440710227429
what is 52289625982745011005 - 89344428478384055277,-37054802495639044272
what is 75289373260662940466 - -28834556978810171303,104123930239473111769
what is 88534594563972492012 + -23139380871214709895,65395213692757782117
what is 73908088650320446309 - -48520721934696438076,122428810585016884385
what is -35478045742389155362 * 99429679672408878339,-3527570723568823354024415301000027503718
what is -95088563655633401679 - -47980008709482690775,-47108554946150710904
what is 62551115143371549487 - 9241923103601773841,53309192039769775646
what is -95306128472928934334 * 39670972907261899560,-3780886840545585670012859648751343493040
what is 83798858062510308902 - -65065139713975181687,148863997776485490589
what is -518397128712553296 + -87688963953499853029,-88207361082212406325
what is 83189695458253273657 + 82651996226617488213,165841691684870761870
what is 59616274135786314349 + 31229902203591105558,90846176339377419907
what is 71778057712026345647 * 84578616996985696456,6070888852013011728644432653894878927032
what is 18572689288746590181 / 36346199992046819309,0.51
what is 47923047611617819994 * 48364075718048854409,2317753903327944554836454755821675253546
what is 18445903524339960899 / 77078078416053383807,0.24
what is 35203098113513670207 + -44949898595480501630,-9746800481966831423
what is -6786834577822941864 + 3104984716380363374,-3681849861442578490
what is -85460279406731250505 / -6495405187665250631,13.16
what is 86431500093147372637 / 59251695055143063199,1.46
what is 57820370673470769954 - 68728116517815821888,-10907745844345051934
what is -14113663010355674393 * 35419217946710723029,-499894906190216991628483500049930696397
what is 83127916113142971853 - -62128319343440248132,145256235456583219985
what is -24981581182071909155 - -86530956892686526764,61549375710614617609
what is 77964393986473290189 * 82656700792806473857,6444279586232403087978900849854203088973
what is 4555799241113027603 + 55022141807596889090,59577941048709916693
what is -4927224071856974962 / 74334341461864019326,-0.07
what is -20589737412693487241 + -85972343060445635808,-106562080473139123049
what is 60971041602473078036 + -39662036942282542489,21309004660190535547
what is -71379056469924868274 * -78176778578745601312,5580184692809095061505613104698521575488
what is -15577261936648851851 + -3293051954716521965,-18870313891365373816
what is -93413716574261078293 - 5108427434395071370,-98522144008656149663
what is -72269113205044580586 - -91404397733160653493,19135284528116072907
what is -5227177656360372366 + -95545142476756480030,-100772320133116852396
what is 71614955607782141977 + 39245778738319185379,110860734346101327356
what is 82257290673848688320 * 91353269840311558965,7514472471261042651773064718699586788800
what is 16995652665143363280 / -9423854591713296817,-1.8
what is -51472917475059446303 / 33984591616421192175,-1.51
what is 9870735774957009611 + -76073798710562291164,-66203062935605281553
what is 39357648618822630984 + 89019641767852701420,128377290386675332404
what is 77846565206484896396 / -55287630679389554106,-1.41
what is -54658053841422079025 + 95175441277191802778,40517387435769723753
what is 1990948638611329207 + 30256212022246684914,32247160660858014121
what is -74437323487690428633 - 53701358495072483942,-128138681982762912575
what is 729881484366231699 + 37035517697292897765,37765399181659129464
what is -4562233329632226495 * 12642627702728824291,-57678617479521150629471141255969790045
what is -18065266754452846938 * 5972736786811694729,-107899083307886830011588374406618389802
what is -94929018907794211575 - -57184371719219624126,-37744647188574587449
what is -77310585694026996920 * 64510509266960847293,-4987345254848699292646163826979501337560
what is -62900420233528610567 - 95400641941685396943,-158301062175214007510
what is 49419729932534334198 / 26209087666232617609,1.89
what is -68798733045762537834 * -70058025005796939753,4819903360087180130186833473768081115002
what is -81422861623724233745 + -4611622866540079603,-86034484490264313348
what is -10665768371262517821 - 94430165323883488164,-105095933695146005985
what is 11641741939061926563 + 45660204176952446827,57301946116014373390
what is 32213673295134346653 / -57255840300141236693,-0.56
what is -39250944818197225178 + 41805032740839073392,2554087922641848214
what is -17700325334863266217 / 10949442790546357441,-1.62
what is 31397178949366743384 / 66285000208905670858,0.47
what is 75817315490360814708 * 21807446305282832416,1653382036566731806335537227875591974528
what is 586868495375271620 + -83123274280649365182,-82536405785274093562
what is -49746975733862755129 - 68988802894674367924,-118735778628537123053
what is -15909012645772447514 / -65910934967037594196,0.24
what is -47899213270062061001 * 38492263528419054304,-1843749139995175856444336892537579598304
what is -17013081702516770954 - -98582234888902924979,81569153186386154025
what is 59618924155512664260 / 61581085226441944359,0.97
what is -38298160359714989179 - -91883390680725855897,53585230321010866718
what is 11067874716413309584 - -12731204109575591980,23799078825988901564
what is 321227612173672095 - -8788871309145096586,9110098921318768681
what is 79219604285226871290 - 6382162465103590579,72837441820123280711
what is -66577740790250296634 / -87629385483489362620,0.76
what is -15562351360919007255 + -67047799070626917212,-82610150431545924467
what is -50262865465094481707 / -13135892648051936949,3.83
what is 30564113884110127475 + -29395965641030343989,1168148243079783486
what is -350261682002683158 / 96971551797703034503,-0.0
what is 34696135358155755231 - -57156969427589904637,91853104785745659868
what is 60049787271859325990 + 59065098801846184371,119114886073705510361
what is 94988857816673954193 - -44411603189429102118,139400461006103056311
what is 14626223180269140256 * 80020034098080653910,1170390877611274266190285790101984800960
what is 71174268217919211979 * -72435863958524522634,-5155569609980731651384093423948429432686
what is -91332192029389314361 - 74178515214947231410,-165510707244336545771
what is -94184096469808051596 - 74746564585868865518,-168930661055676917114
what is 32601267949970860168 * 33007804395764835945,1076096275546555419955955013919055138760
what is -54274465430227291867 / -18776280512202540756,2.89
what is 48842885906039064320 * 57204177948986401539,2794017136911098541027615957799367988480
what is -69464926761374828976 * -62828113970238195364,4364350335497906972308545413248376067264
what is 4415337336968594543 / -12539821118499765505,-0.35
what is -82342156051157009531 - -85453638615387724404,3111482564230714873
what is -1487855136175705011 * -66671568075780313119,99197634998437904683934557934157339309
what is 61101827624849745797 * -16448339445254763051,-1005023601498973224018400867320818146647
what is -59187771886231430356 / 20476097273291336019,-2.89
what is 44175528391132082679 - -67057894219911938945,111233422611044021624
what is 5408156265634574485 * -40594207009071437031,-219539814984576652018520546697156754035
what is 11675669709588002466 * 6343919126912417170,74069504390167275938469571791980741220
what is -4064631932119795601 - 55711989852830565422,-59776621784950361023
what is -94550062385699312995 + 98081406521528725715,3531344135829412720
what is -73345637014312329499 - 9367168280561180602,-82712805294873510101
what is 98511181851407791413 - -9576862320554116322,108088044171961907735
what is -85644238968620388412 + 92594380329847507748,6950141361227119336
what is 90285081592515569912 + -62092461355396658403,28192620237118911509
what is -1505442669606730478 * -59611771318851327768,89742104154237471395965089299613313104
what is -37321679938564062792 * 34466481468614187153,-1286346989980068145097900215290331711176
what is 10365547912232308538 + 36962566662862658140,47328114575094966678
what is 74247830285735551042 / -78881604483164025519,-0.94
what is 77354645294656958088 + -15910133725890462360,61444511568766495728
what is -58929696852804826952 / -52835889577419314951,1.12
what is 6547290380962098609 * -67223415407388406295,-440131221072213447914462496119146343655
what is 15538265152028759719 + 72957117139606347275,88495382291635106994
what is 10481097162246807730 / -98989523932606334103,-0.11
what is 9537891145685203798 / 47427102161480151978,0.2
what is 76966612191635946422 * -727648866624354623,-56004668129160131237301122533556008906
what is -90203233392714263637 + -42866671140955126563,-133069904533669390200
what is -98251247597372274016 - -81461731842155741350,-16789515755216532666
what is -8226975346046655017 - -78095372822145372843,69868397476098717826
what is -25563076925124058932 * 42264207226520501866,-1080403180510927741700512857587599967112
what is 84333185555685503393 + -27901251189547029752,56431934366138473641
what is 62708943075612919024 - -29392492900296570000,92101435975909489024
what is 97592007614197433185 - 9634202614391985821,87957804999805447364
what is -33373821224929716233 * 26484200696097137663,-883878979316705018208270568142126783479
what is 83879812704057838427 * 19018008389483099124,1595226981714043009584506977092417237948
what is 18336309614916991046 + -55263183988062142548,-36926874373145151502
what is -11851873200057542922 * -79114129661591573200,937650633082094693947133090292504890400
what is -79342220384508736022 / 18014728292238140163,-4.4
what is 38741732798397000031 / -48588303007834544175,-0.8
what is -53177031145879722509 + 49276305630163884907,-3900725515715837602
what is -61550120200380604616 * 77141184071749295291,-4748049152015854840167757435182501663256
what is -45212265438974728200 / 86125530818958709278,-0.52
what is -75262195571811312401 - -51889933213508882805,-23372262358302429596
what is 73120604319602781754 + 27010919336967821995,100131523656570603749
what is 59863594011306266533 / 48754559382846801928,1.23
what is -37103692974943184935 / -33109955163496102087,1.12
what is -41588705858376190868 * -22539302331714262186,937380414926677074665328097807730917448
what is 7121251464979165199 * 65466215922366235769,466201386043792907155561119613633803031
what is -8715011762923031876 + -63232675607899794119,-71947687370822825995
what is -13774347618814121843 * -97552358508713559397,1343720097134200155022479080881375608671
what is -14421056940475442290 - -33258511345195492303,18837454404720050013
what is 28559392476463105617 * 35204330781642567063,1005414299664161252028072291281174492871
what is 96403718787439364907 * -87662953538360422218,-8451034720988460785983385857406292303726
what is 190716688322862622 - 85158386428457163251,-84967669740134300629
what is -1666784134284042686 + 91300061063315673473,89633276929031630787
what is -25595508916221154897 * -70906160038001109460,1814879251467661540521191596808512025620
what is 26403256711536127047 * 58697423757157143944,1549803147766039471586443312881650653368
what is -47469463109808923250 + -34586724018014572565,-82056187127823495815
what is -64222185984950520419 / -72195377797344219096,0.89
what is -96649037880001854573 - 30110578458120895960,-126759616338122750533
what is -46674816589946084275 * -5714022324783003586,266700944000104028269555430633983210150
what is 34647619765205469265 / -20131907221787511402,-1.72
what is -6612843126406349475 / -23185240802938066532,0.29
what is 3483358104849288746 * -95436592601720274912,-332439828338401988009050976570787740352
what is 96248525580368801018 - -17356591419443328630,113605116999812129648
what is -7741894011700954240 - -70893648545143582319,63151754533442628079
what is -5923078668659651422 - 52478858054980822011,-58401936723640473433
what is -59612337872292617879 - -52610264950958658953,-7002072921333958926
what is -48311521567432152814 * -53127101482855699080,2566651109104139813257761721473359211120
what is 87885546769731682878 + 1242934328413608696,89128481098145291574
what is -75622886853442245586 * -9955435213469478804,752858750724977044443639608558789559144
what is -46893382325550285133 * -50053478650022869615,2347176911059290980005861050134131933795
what is 68135478825261894142 * 58812653111915143653,4007228280764367314891303294248809180726
what is -24290547124482087615 + -49238373759580459452,-73528920884062547067
what is -79621073408908783360 / 64043890735647261275,-1.24
what is -94820312793174828666 / 39111746919855470218,-2.42
what is 1396950849602332495 * 82430047348874775186,115150724676771112473382711694347469070
what is 64593846402433343328 + -85841401685437785423,-21247555283004442095
what is 15135785466540127218 + -29345964571508188964,-14210179104968061746
what is -57687346054343552473 + -79812125152218535586,-137499471206562088059
what is -6086548128304133885 / 75018752698453949626,-0.08
what is -88359471655391364330 * 25479880592542681960,-2251388786999531627418880313521678486800
what is -42794874582012786492 / 19781319125961630906,-2.16
what is -88213279654218504177 + -31885344614919724885,-120098624269138229062
what is -10187882437904901350 - 22770025596265697584,-32957908034170598934
what is -32738092147131989299 * 49492829365159103949,-1620300808378858780251747553656696641751
what is 55882442349649707504 * 39381850508925087298,2200753990687529184687332031193365684192
what is 32315672784821323105 + -41741024335509222710,-9425351550687899605
what is 588145548833420440 * -24422407885538645003,-14363930489673781566291983799404061320
what is 63645424090255592852 * -94181564731224967066,-5994225628802672028847329422726005012232
what is -46826163894958169562 + 27330294004228644417,-19495869890729525145
what is -80265795418093598364 * -61135752196269754132,4907109778517054474287752423065437440048
what is 81815112591672479282 + -67185345721731164449,14629766869941314833
what is 57498403878871429539 - -37944664438249622620,95443068317121052159
what is 63602645366451922549 * -59685980783630857878,-3796186269130137672044084768115282491022
what is 25459786561000041666 / -32464083591320356382,-0.78
what is 85406631156429011107 - -79611251573409239515,165017882729838250622
what is 41647688821799248668 * -34135300822884508054,-1421656386510001820769130011313994772072
what is 48936050639165762622 * -12340389746900713232,-603889937561375271387317533847006414304
what is -99021664206397829005 - -11907402177510805089,-87114262028887023916
what is 91009859952597054429 + 80554566974492559747,171564426927089614176
what is -28964449740742789929 * 11287750310130330981,-326943476543823811800170831470123490349
what is -73885377483120396486 + 17964360543063466306,-55921016940056930180
what is 2790102158432524169 * 90499634398371266837,252503225272249982450066881388150683453
what is 18408312215390376142 + 77356833323398143277,95765145538788519419
what is -24292331030844412564 / 87215320414596024791,-0.28
what is -88180059975569407911 * 60142219728871688993,-5303344542755779230181007169991545823623
what is -24173560829044863376 * 42698124735613991614,-1032165715582509950969033639102639728864
what is -58183248798359275460 / 7461219270014045200,-7.8
what is 22512134298672833352 * -98374566601653428346,-2214621454910157137175409736044330995792
what is 68110725809596545646 * -69944319430807390913,-4763958362690558129184902520930770114798
what is -36188591932028165968 * -25819989947744033215,934389079907978067016117501491724627120
what is 47552049957732498374 / 663025047005802420,71.72
what is 88785001737846021649 + 82034646810535777435,170819648548381799084
what is -71608594105260696479 - -95942067406879191462,24333473301618494983
what is -32153895748252232077 * -3405945571635016093,109514418834573662086306724959065815161
what is -13941411914974114936 - 29571104763685854518,-43512516678659969454
what is 67129497381999511088 * 2461657095084770039,165249803519873591867428865812910692432
what is -60536478448995167718 - -32857787275322065197,-27678691173673102521
what is -27700285049988022113 + -79141498337180435032,-106841783387168457145
what is 40285698468002388046 + -90792448292860255983,-50506749824857867937
what is -18484484513950743005 - 9152359725511806379,-27636844239462549384
what is -42291236996526461888 + -74711442531830491608,-117002679528356953496
what is 9459912700135934725 * -52802434497665606183,-499506420702562672696530911418444404675
what is 99019966725250908634 * -29250962040758778678,-2896429287957511677376032127031605305852
what is 45365398066145622089 * 27544813383543324844,1249581423802138398371234088889788879116
what is -15408103585246009531 / 6979505853427693482,-2.21
what is 50206500831532647621 - -94049981427766204122,144256482259298851743
what is -67765753630843393690 + -67227404835248687267,-134993158466092080957
what is -60345122635801034557 + 62688851976407373795,2343729340606339238
what is 13710738128164397481 - 18607807016415305133,-4897068888250907652
what is -62755045473772650826 / 598869334403184648,-104.79
what is 12361194364667502306 * 25913679669304625314,320324031096007159166754685109560974084
what is -62778107012488265379 * -81524452323567349623,5117950792103408691833445899071699602117
what is -88760222749360095633 * 23122482278166005445,-2052356677528145927390234338114798721685
what is -17068723703513644565 + -14662288663251010030,-31731012366764654595
what is -19234352763147452458 / 76613563082697181893,-0.25
what is -636733446418021414 / 66448731296920250669,-0.01
what is 84947435661880092160 * -610306882407418486,-51844004627306800930987840181367669760
what is 30607986496585024359 - 78901592894613117131,-48293606398028092772
what is -9757053398902887923 + -69699260664078002089,-79456314062980890012
what is 25013529972659798159 * -6677279698316436823,-167022335869670967264432219371255208857
what is 61296592767005190744 + 90491237269592738654,151787830036597929398
what is -66657855828361515808 - -840950686600884848,-65816905141760630960
what is 35128120521678634179 + 50192742898935362220,85320863420613996399
what is -5267324397739616639 * 40658768893143537777,-214162925372911544550307819024194271503
what is -67414150146119852515 - 8212347010960863355,-75626497157080715870
